Name,Confidence Level,Last Updated,Module,Owner Council,Playbook Version,Risk if Wrong,Status,Supporting Councils
Market Demand & Seasonality Playbook,High,13 de diciembre de 2025,Market Demand & Seasonality,Strategic Intelligence,v1,Medium,Active,
Breakout Terms & Trend Alerts Playbook/,Medium,13 de diciembre de 2025,Breakout Terms & Trend Alerts,Strategic Intelligence,v1,Medium,Active,
Category Visibility Benchmark Playbook,High,13 de diciembre de 2025,Category Visibility Benchmark,Strategic Intelligence,v1,Medium,Active,SEO Visibility & Demand
Emerging Competitor Watch Playbook,Medium,13 de diciembre de 2025,Emerging Competitor Watch,Strategic Intelligence,v1,Medium,Active,
Market Momentum Index Playbook/t,Medium,13 de diciembre de 2025,Market Momentum Index,Strategic Intelligence,v1,High,Active,Growth Strategy & Planning
Keyword Gap & Visibility Playbook,Medium,13 de diciembre de 2025,Keyword Gap & Visibility,SEO Visibility & Demand,v1,Medium,Active,Strategic Intelligence
Share of Voice vs Competitors Playbook,High,13 de diciembre de 2025,Share of Voice vs Competitors,SEO Visibility & Demand,v1,Medium,Active,Strategic Intelligence
Link Authority & Technical SEO Playbook,High,13 de diciembre de 2025,Link Authority & Technical SEO,SEO Visibility & Demand,v1,Low,Active,
Branded vs Non-Branded Demand Capture Playbook,Medium,13 de diciembre de 2025,Branded vs Non-Branded Demand Capture,Performance Media & Messaging,v1,Medium,Active,SEO Visibility & Demand
Paid vs Organic Overlap Playbook,Medium,13 de diciembre de 2025,Paid vs Organic Overlap (SERP Cannibalization),Performance Media & Messaging,v1,High,Active,Ops & Attribution
Competitor Ad & Landing Page Strategy Playbook,Medium,13 de diciembre de 2025,Competitor Ad & Landing Page Strategy,Performance Media & Messaging,v1,Medium,Active,Creative & Funnel
Strategic Summary Playbook,High,13 de diciembre de 2025,Strategic Summary,Growth Strategy & Planning,v1,High,Active,Marketing Council
Action Cards Playbook,High,13 de diciembre de 2025,Action Cards,Growth Strategy & Planning,v1,High,Active,All Councils
Priority Scoring Playbook,Medium,13 de diciembre de 2025,Priority Scoring,Growth Strategy & Planning,v1,Medium,Active,
Deprioritization Flags Playbook,High,13 de diciembre de 2025,Deprioritization Flags,Growth Strategy & Planning,v1,High,Active,Ops & Attribution
OS Drop Playbook,High,13 de diciembre de 2025,OS Drop (Executive 1-Pager),Growth Strategy & Planning,v1,Low,Active,Marketing Council